page_title,season,event_name_pt,confederacao,status
2013 Men's African Volleyball Championship,2013,Campeonato Africano 2013,Africa,Confirmado (tabela de partidas testada)
2013 Men's European Volleyball Championship,2013,Campeonato Europeu 2013,Europa,A testar (16 selecoes -- provavel varias tabelas por grupo)
2013 Asian Men's Volleyball Championship,2013,Campeonato Asiatico 2013,Asia,A testar (21 selecoes -- 8 grupos -- provavel varias tabelas)
2013 Men's South American Volleyball Championship,2013,Campeonato Sul-Americano 2013,America do Sul,A testar (5 selecoes -- turno unico -- estrutura parecida com Africa)
